topic_index	terms
0	舆情丶研判丶研究院丶电子丶引导丶政法丶报告丶市委丶房产丶领导丶痛点丶优质丶舆论丶网站丶党报丶精准化丶权威性丶安全丶智库丶年来丶可视化丶生态丶群体丶受众丶智媒丶党政机关丶工业丶文创丶app丶定制化
1	数据丶旅游丶电子丶小程序丶公众丶智能丶乡村丶应用丶连接丶数据库丶销售丶智慧丶驱动丶政务丶机制丶区域丶社区丶生态丶房产丶流量丶地产丶采集丶协同丶营收丶金融丶群体丶数字丶会员丶定制化丶成本
2	会员丶党建丶教学丶课程丶社区丶交流丶群体丶付费丶连接丶学院丶公益丶体验丶教育丶变现丶干部丶消费丶读者丶特色丶流量丶评选丶讲座丶发行丶增长丶知识丶社群丶艺术丶规模丶理论丶机关丶优质
3	智库丶流量丶文产丶文化产业丶变现丶论坛丶社群丶报告丶赋能丶成本丶跨界丶场景丶公益丶转化丶数据丶城市丶招商丶智慧丶形象丶效应丶圈层丶自媒体丶指数丶特色丶调研丶健康丶重构丶定位丶演出丶移动互联
4	创业丶双创丶资金丶广播丶电视丶市委丶市政府丶市民丶高校丶广大丶补贴丶成本丶路演丶招商丶创新大赛丶关注度丶效应丶评审丶手机丶赞助丶各大丶职能丶银行丶创意丶电视台丶外包丶评选丶力度丶app丶影响
5	十九大丶摄影丶赋能丶协会丶峰会丶精神丶国际丶采风丶评选丶政治丶展会丶首届丶公信力丶驱动丶跨界丶应用丶变现丶场景丶转化丶电影丶新时代丶报告丶冠名丶城市丶端口丶党报丶思想丶市委宣传部丶赞助丶招商
6	舆情丶研究院丶智库丶报告丶舆论丶研判丶监测丶政务丶引导丶数据丶治理丶课题丶决策丶科学丶现代化丶市委丶调研丶领导丶社会治理丶应用丶网站丶形态丶风险丶企事业丶党媒丶评估丶研发丶体系丶党委政府丶教育
7	电商丶资讯丶融媒体丶发行丶政法丶软件丶研发丶app丶物流丶应用丶科技丶会展丶城市丶销售丶区域丶视频丶生态丶上线丶网站丶智慧丶版权丶直播丶商城丶数据丶体验丶党建丶第三方丶人工智能丶自主研发丶移动互联
8	空间丶城市丶政务丶创意丶质量丶文创丶教育丶市民丶艺术丶学生丶文化产业丶党建丶政法丶工程丶升级丶人才丶ip丶落地丶矩阵丶特色丶优质丶产业园丶演出丶历史丶交流丶消费丶改革丶小记者丶高质量丶布局
9	教育丶创业丶园区丶基地丶乡村振兴丶电商丶农业丶融媒体丶服务平台丶农村丶创意丶资本丶变现丶商务丶青少年丶农产品丶销售丶小记者丶版权丶结构丶学院丶工作室丶电子丶投资丶出版丶ip丶矩阵丶视频丶新技术丶增长
10	品质丶文化产业丶历史丶舆情丶文产丶空间丶会展丶文创丶艺术丶城市丶高质量丶收益丶产业化丶消费丶教育丶效应丶政法丶舞台丶精品丶高端丶知名度丶布局丶资金丶创意丶落地丶竞争丶协会丶交易丶中央丶研究院
